Order ID,Order Date,Year,Month,Day,Segment,Category,Sub-Category,Region,Sales,Profit,Quantity,Discount
ORD-00001,2023-11-24,2023,Nov,24,Consumer,Office Supplies,Art,West,124.75,32.77,9,0
ORD-00002,2023-02-14,2023,Feb,14,Corporate,Furniture,Chairs,West,710.87,164.59,9,0
ORD-00003,2023-08-03,2023,Aug,3,Consumer,Technology,Phones,West,1772.79,97.55,4,0.2
ORD-00004,2023-06-22,2023,Jun,22,Consumer,Technology,Accessories,Central,1584.43,438.93,9,0
ORD-00005,2023-03-05,2023,Mar,5,Home Office,Technology,Accessories,Central,1531.82,141.5,4,0
ORD-00006,2023-05-29,2023,May,29,Home Office,Office Supplies,Paper,South,177.07,4.23,6,0.2
ORD-00007,2023-04-18,2023,Apr,18,Corporate,Technology,Phones,West,1445.61,107.15,7,0.1
ORD-00008,2023-05-19,2023,May,19,Home Office,Technology,Computers,Central,2061.49,292.41,1,0
ORD-00009,2023-06-11,2023,Jun,11,Consumer,Furniture,Bookcases,West,1421.14,239.98,8,0.3
ORD-00010,2023-03-15,2023,Mar,15,Consumer,Furniture,Bookcases,South,1828.34,50.72,3,0.3
ORD-00011,2023-09-18,2023,Sep,18,Consumer,Office Supplies,Paper,West,309.17,28.14,7,0.3
ORD-00012,2023-07-15,2023,Jul,15,Corporate,Technology,Accessories,East,1737.17,458.72,9,0
ORD-00013,2023-05-17,2023,May,17,Corporate,Furniture,Bookcases,South,585.71,197.69,5,0
ORD-00014,2023-09-14,2023,Sep,14,Corporate,Technology,Phones,Central,2059.13,146.75,3,0.1
ORD-00015,2023-10-04,2023,Oct,4,Home Office,Office Supplies,Binders,Central,256.69,84.93,5,0
ORD-00016,2023-05-03,2023,May,3,Consumer,Office Supplies,Paper,East,348.66,119.96,9,0
ORD-00017,2023-03-06,2023,Mar,6,Consumer,Technology,Computers,Central,1432.71,272.76,9,0.3
ORD-00018,2023-12-20,2023,Dec,20,Consumer,Furniture,Bookcases,South,1831.35,-159.93,4,0.4
ORD-00019,2023-02-02,2023,Feb,2,Consumer,Technology,Computers,West,394.35,55.92,1,0
ORD-00020,2023-06-19,2023,Jun,19,Consumer,Furniture,Furnishings,West,1225.91,-66.68,8,0.4
ORD-00021,2023-07-28,2023,Jul,28,Consumer,Furniture,Furnishings,Central,1031.61,116.82,1,0.4
ORD-00022,2023-12-11,2023,Dec,11,Corporate,Technology,Phones,South,1832.79,269.67,4,0
ORD-00023,2023-10-02,2023,Oct,2,Consumer,Technology,Accessories,South,878.36,175.36,9,0
ORD-00024,2023-02-20,2023,Feb,20,Consumer,Office Supplies,Binders,East,422.17,31.62,8,0.1
ORD-00025,2023-09-04,2023,Sep,4,Consumer,Technology,Phones,West,1136.05,1.82,8,0.3
ORD-00026,2023-05-27,2023,May,27,Consumer,Office Supplies,Appliances,South,130.51,11.59,1,0.1
ORD-00027,2023-10-24,2023,Oct,24,Corporate,Furniture,Bookcases,East,404.24,6.37,9,0.4
ORD-00028,2023-03-22,2023,Mar,22,Consumer,Technology,Computers,East,1567.1,217.86,10,0.1
ORD-00029,2023-05-07,2023,May,7,Corporate,Furniture,Chairs,South,1424.39,330.99,4,0.2
